FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry,latitude,longitude,annee_creation,region,type,statut,nom
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e62,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Centre de Formation Technique de Sotouboua Comienas,BP 69 Sotouboua,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1994,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (0.9911255492519939 8.554312795157191),0.9911255492519939,8.554312795157191,1994.0,Centrale,Formation Professionnelle autre,Prive - entreprise,Centre de Formation Technique de Sotouboua Comienas
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e61,Centrale,Tchamba,Tchamba 1,Tchamba,Kitom,Complexe Scolaire Informatique et Technique Ya Salam,"Complexe Scolaire Info-Tech Ya Salam, Tchamba","{Lundi,jeudi,Mardi,Mercredi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},CAP,"{Latrines a eau,Douches}",Non,POINT (1.4212318420319956 9.016451984830447),1.4212318420319956,9.016451984830447,2017.0,Centrale,CAP,Prive - individuel,Complexe Scolaire Informatique et Technique Ya Salam
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e60,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Tellessou,Complexe Scolaire les Sages Lycée Technique,13 BP123,"{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2014,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1715484473285294 6.2258597326147616),1.1715484473285294,6.2258597326147616,2014.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire les Sages Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e5f,Plateaux,Kloto,Kloto 3,Kouma,Dunyo,CRASE de Kuma-Dunyo,BP 234 Kpalimé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1978,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (0.5921441455391109 6.980541988611658),0.5921441455391109,6.980541988611658,1978.0,Plateaux,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,CRASE de Kuma-Dunyo
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e5e,Centrale,Tchamba,Tchamba 1,Tchamba,Medina,Centre de Formation Technique et Professionnelle de Tchamba,"Centre de Formation Technique et Professionnelle de Tchamba, Tchamba","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau,Douches}",Oui,POINT (1.4159050000000002 9.002595000000001),1.4159050000000002,9.002595000000001,1999.0,Centrale,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,Centre de Formation Technique et Professionnelle de Tchamba
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e5d,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adetikope Centre,Institut de Formation HTIB Atlantis,"Institut de Formation Htib Atlantis, Adetikope","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - individuel,{Inacheve},CAP,{WCs},Non,POINT (1.222898393633333 6.321332746484188),1.222898393633333,6.321332746484188,2012.0,Maritime,CAP,Prive - individuel,Institut de Formation HTIB Atlantis
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e5c,Centrale,Blitta,Blitta 1,Blitta,Dépôt,Institut de Technologie et de la Formation Professionnelle de Blitta (Itfp-Blitta),BP 18 Blitta,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2013,Prive - individuel,{Construit et Utilise},CAP,"{WCs,Douches}",Non,POINT (0.982862014465271 8.327344265152531),0.982862014465271,8.327344265152531,2013.0,Centrale,CAP,Prive - individuel,Institut de Technologie et de la Formation Professionnelle de Blitta (Itfp-Blitta)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e5b,Centrale,Blitta,Blitta 1,Blitta,Hezouda,Centre de Formation Technique et Professionnelle de Blitta,"Cftp, Blitta Gare","{Lundi,Mardi,jeudi,Mercredi,Vendredi}",2020,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,"{Latrines seches,WCs}",Non,POINT (0.9906897213895501 8.315479796823015),0.9906897213895501,8.315479796823015,2020.0,Centrale,CAP,Domaine public de l'etat ou des collectivites territoriales,Centre de Formation Technique et Professionnelle de Blitta
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e5a,Centrale,Tchaoudjo,Tchaoudjo 1,Kpangalam,Kpangalam,Institut Technique Sainte Josephine Bakhita Lycée Technique,300 BP 62 - Sokodé,"{Vendredi,jeudi,Mercredi,Lundi,Mardi}",2000,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.1296782871585234 9.009258441701826),1.1296782871585234,9.009258441701826,2000.0,Centrale,Formation Professionnelle autre,Prive - individuel,Institut Technique Sainte Josephine Bakhita Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e59,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Vakpossito,Complexe Scolaire le Cerveau Lycée Technique,"Cs Le Cerveau Lycee Technique, Vakpossito","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{Latrines seches,Pissotieres}",Non,POINT (1.1553483333333328 6.22104856719269),1.1553483333333328,6.22104856719269,2014.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire le Cerveau Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e58,Maritime,Golfe,Golfe 5,Aflao-Gakli,Amadahome,Complexe Scolaire Anne et Albert Lycée Technique,"Lycee Technique Anne et Albert, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.161277941538585 6.207451714315899),1.161277941538585,6.207451714315899,2005.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Anne et Albert Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e57,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adetikope,Institut Polytechnique Akakpo Ayefounin,"Institut Polytechnique Akakpo Ayefounin, Adetikope","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{Inacheve},CAP,{WCs},Oui,POINT (1.243673230391456 6.31281764932409),1.243673230391456,6.31281764932409,2018.0,Maritime,CAP,Prive - individuel,Institut Polytechnique Akakpo Ayefounin
